Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,1uf,C1592
"C30, C35, C36, C37, C42, C43, C44, C49, C50, C51, C56, C57",C0402,12,22uF,C6119784
"C31, C38, C45, C52",C0805,4,100uF,C2880375
"C32, C34, C39, C41, C46, C48, C53, C55",C0402,8,100nF,C131394
"C33, C40, C47, C54",C0402,4,1nF,C14442
F1,FUSE-SMD_2410-T4A-125V,1,4A fuse,C5220739
"L6, L7, L8, L9",IND-SMD_L18.3-W18.2_MTF1810,4,22uH,C5361009
"LED1, LED6, LED7, LED8, LED9",LED0805-R-RD,5,0805G,C2297
R1,R2010,1,1k,C2974087
"R15, R18, R21, R24",R0402,4,2Ω,C2906922
"R16, R17, R19, R20, R22, R23, R25, R26",R0402,8,3.3kΩ,C137992
R2,R0603,1,270Ω,C22966
"TP1, TP2",TestPoint_Pad_2.0x2.0mm,2,TestPoint,
U1,R0805,1,10k,C2907219
"U11, U13, U15, U17",QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,4,IP6518,C181688
"U12, U14, U16, U18",C1206,4,220uF,C576503
U2,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
"USB1, USB10, USB11, USB12, USB9",USB-C-SMD_TYPE-C-16PIN-2MD-073,5,TYPE-C 16PIN 2MD,C2765186
