Designator,Mid X,Mid Y,Rotation,Layer
C1,117.01,-103.55,90.0,top
C30,107.08,-103.75,180.0,top
C31,107.75,-105.4,0.0,top
C32,105.4,-103.32,270.0,top
C33,104.08,-97.75,0.0,top
C34,107.16,-97.33,90.0,top
C35,105.91,-97.33,90.0,top
C36,108.5,-97.17,270.0,top
C37,43.4975,-103.354309,180.0,top
C38,44.1675,-105.004309,0.0,top
C39,41.8175,-102.924309,270.0,top
C40,40.4975,-97.354309,0.0,top
C41,43.5775,-96.934309,90.0,top
C42,42.3275,-96.934309,90.0,top
C43,44.9175,-96.774309,270.0,top
C44,64.4975,-103.354309,180.0,top
C45,65.1675,-105.004309,0.0,top
C46,62.8175,-102.924309,270.0,top
C47,61.4975,-97.354309,0.0,top
C48,64.5775,-96.934309,90.0,top
C49,63.3275,-96.934309,90.0,top
C50,65.9175,-96.774309,270.0,top
C51,85.4975,-103.354309,180.0,top
C52,86.1675,-105.004309,0.0,top
C53,83.8175,-102.924309,270.0,top
C54,82.4975,-97.354309,0.0,top
C55,85.5775,-96.934309,90.0,top
C56,84.3275,-96.934309,90.0,top
C57,86.9175,-96.774309,270.0,top
F1,115.71,-93.5,180.0,top
L6,100.0,-87.0,0.0,top
L7,36.4175,-86.604309,0.0,top
L8,57.4175,-86.604309,0.0,top
L9,78.4175,-86.604309,0.0,top
LED1,117.21,-106.25,0.0,top
LED6,92.5,-105.2,90.0,top
LED7,28.9175,-104.804309,90.0,top
LED8,49.9175,-104.804309,90.0,top
LED9,70.9175,-104.804309,90.0,top
R1,118.26,-98.89,270.0,top
R15,104.05,-99.05,180.0,top
R16,109.66,-97.57,270.0,top
R17,92.57,-102.5,0.0,top
R18,40.4675,-98.654309,180.0,top
R19,46.0775,-97.174309,270.0,top
R2,118.76,-103.75,90.0,top
R20,28.9875,-102.104309,0.0,top
R21,61.4675,-98.654309,180.0,top
R22,67.0775,-97.174309,270.0,top
R23,49.9875,-102.104309,0.0,top
R24,82.4675,-98.654309,180.0,top
R25,88.0775,-97.174309,270.0,top
R26,70.9875,-102.104309,0.0,top
TP1,111.9,-79.0,0.0,top
TP2,115.4,-79.0,0.0,top
U1,113.76,-105.75,90.0,top
U11,107.5,-100.75,90.0,top
U12,99.66,-98.25,0.0,top
U13,43.9175,-100.354309,90.0,top
U14,36.0775,-97.854309,0.0,top
U15,64.9175,-100.354309,90.0,top
U16,57.0775,-97.854309,0.0,top
U17,85.9175,-100.354309,90.0,top
U18,78.0775,-97.854309,0.0,top
U2,113.76,-100.0,180.0,top
USB1,116.62,-86.68,90.0,top
USB10,35.9175,-103.104309,0.0,top
USB11,56.9175,-103.104309,0.0,top
USB12,77.9175,-103.104309,0.0,top
USB9,99.5,-103.5,0.0,top
